"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"

"2019","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  17,362 ","  63,197 ","  51,778 ","  49,607 ","  181,944 ","  6,005 ","  187,949 ","  24,361.53 ","Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços"
"2019","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,977 ","  11,537,468 ","  9,924,629 ","  2,212,077 ","  23,687,150 ","  4,379,098 ","  28,066,248 ","  63,882.75 ","Indústrias de transformação","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,592 ","  9,781 ","  41,414 ","  30,739 ","  96,526 ","  5,797 ","  102,323 ","  14,898.51 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2019","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,008 ","  1,041,129 ","  982,042 ","  255,486 ","  2,300,665 ","  215,568 ","  2,516,233 ","  62,744.25 ","Demais serviços","Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3109600","Cachoeira da Prata","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,294 ","  2,273 ","  18,942 ","  19,154 ","  41,662 ","  5,085 ","  46,748 ","  12,974.72 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3109907","Caetanópolis","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","3147402","Paraopeba/MG","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  26,055 ","  79,153 ","  95,423 ","  50,400 ","  251,030 ","  23,248 ","  274,278 ","  23,595.81 ","Demais serviços","Indústrias de transformação","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3109907","Caetanópolis","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","3147402","Paraopeba/MG","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  26,055 ","  79,153 ","  95,423 ","  50,400 ","  251,030 ","  23,248 ","  274,278 ","  23,595.81 ","Demais serviços","Indústrias de transformação","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3114907","Casa Grande","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  20,030 ","  1,636 ","  11,431 ","  13,531 ","  46,627 ","  1,293 ","  47,920 ","  21,231.85 ","Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços"
"2019","3","Sudeste","31","MG","Minas Gerais","3118007","Congonhas","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro de Zona B","Centro de Zona","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  2,398 ","  684,216 ","  703,465 ","  404,578 ","  1,794,657 ","  191,951 ","  1,986,608 ","  36,277.13 ","Demais serviços","Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  11,946 ","  330,248 ","  1,426,466 ","  541,501 ","  2,310,160 ","  198,959 ","  2,509,119 ","  19,512.70 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,102 ","  6,425,590 ","  15,975,976 ","  2,843,742 ","  25,247,410 ","  5,193,729 ","  30,441,140 ","  45,855.10 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,609 ","  10,095 ","  25,847 ","  24,953 ","  68,503 ","  4,236 ","  72,739 ","  14,449.58 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3120904","Curvelo","","3106","Central Mineira","31025","Curvelo","310004","Curvelo","Polo","3101","Belo Horizonte","do Entorno","","","","3120904","Curvelo/MG","Centro de Zona A","Centro de Zona","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  197,766 ","  245,263 ","  873,637 ","  328,192 ","  1,644,858 ","  168,043 ","  1,812,901 ","  22,624.78 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3121407","Desterro de Entre Rios","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  13,268 ","  78,196 ","  60,032 ","  31,763 ","  183,259 ","  7,912 ","  191,172 ","  26,393.98 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3123908","Entre Rios de Minas","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro de Zona B","Centro de Zona","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  14,816 ","  27,081 ","  104,569 ","  63,305 ","  209,771 ","  18,521 ","  228,293 ","  14,923.05 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3124104","Esmeraldas","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  24,967 ","  62,325 ","  312,535 ","  292,797 ","  692,623 ","  47,054 ","  739,678 ","  10,484.15 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3125705","Felixlândia","","3106","Central Mineira","31025","Curvelo","310004","Curvelo","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  42,075 ","  9,265 ","  83,218 ","  69,468 ","  204,026 ","  18,208 ","  222,234 ","  14,490.99 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Produção florestal, pesca e aquicultura"
"2019","3","Sudeste","31","MG","Minas Gerais","3126000","Florestal","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31029","Pará de Minas","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  9,183 ","  12,648 ","  56,492 ","  35,269 ","  113,592 ","  9,597 ","  123,189 ","  16,511.05 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3126406","Fortuna de Minas","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,239 ","  2,742 ","  11,726 ","  17,854 ","  38,561 ","  1,472 ","  40,033 ","  13,584.21 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária"
"2019","3","Sudeste","31","MG","Minas Gerais","3129806","Ibirité","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,875 ","  717,402 ","  853,103 ","  745,977 ","  2,318,357 ","  219,672 ","  2,538,029 ","  14,084.20 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
"2019","3","Sudeste","31","MG","Minas Gerais","3130101","Igarapé","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  59,845 ","  127,311 ","  337,682 ","  184,678 ","  709,516 ","  72,818 ","  782,335 ","  18,174.81 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3131000","Inhaúma","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","3167202","Sete Lagoas/MG","Média concentração urbana","3167202","Sete Lagoas/MG","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  11,589 ","  21,310 ","  38,483 ","  32,342 ","  103,723 ","  9,535 ","  113,258 ","  18,060.59 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias extrativas"
