"Nome do Município","População estimada(2021)","População censo(2010)","Densidade demografica(2010)","Salario medio mensal(2019)","Pessoal ocupado(2019)","Populacao ocupada(2019)","Percentual da populacao com renda de ate meio salario(2010)","Taxa escolarizacao 6 a 14 anos(2010)","IDEB anos finais ensino fundamental(2019)","IDEB anos finais ensino fundamental(2019)","Matriculas ensino fundamental(2020)","Matriculas ensino medio(2020)","Docentes ensino fundamental(2020)","Docentes ensino medio(2020)","Numeros estabelecimentos ensino fundamental(2010)","Numeros estabelecimentos ensino medio(2020)","PIB per capita(2019)","Percentual receitas fontes externas(2015)","IDHM(2010)","Total receitas realizadas(2017)","Total receitas empenhadas(2017)","Mortalidade infantil(2019)","Internacoes por diarreia(2016)","Estabelecimentos SUS(2009)","Area territorial(2021)","Esgotamento adequado(2010)","Arborização vias publicas(2010)","Urbanizacao vias publicas(2010)","Bioma"
"Belo Vale","7723","7536","20.59","1.8","1247","16.2","38.5","97.1","6.3","0","932","250","68","18","10","1","24361.53","0","0.655","45642.25","32123.19","10.75","0.8","5","365.923","48.2","67.7","27.8","Mata Atlântica"
"Betim","450024","378089","1102.80","3.2","118718","27.0","33.7","98","6.1","5.1","54296","15721","2812","958","118","37","63882.75","71","0.749","1775733.39","1363402.09","13.06","0.1","73","343.884","86","74.3","33.4","Cerrado e Mata Atlântica"
"Bonfim","6852","6818","22.59","1.6","770","11.2","36.8","98.5","5.6","5.1","674","229","44","19","4","1","14898.51","83","0.637","19095.87","19887.69","0","0","4","301.865","38.5","40.9","9.4","Mata Atlântica"
"Brumadinho","41208","33973","53.13","2.2","12330","30.7","33.5","98.4","6.7","5.3","4633","1200","268","88","18","5","62744.25","0","0.747","175543.55","165401.05","17.2","0.3","27","639.434","65.4","59.3","19.5","Mata Atlântica"
"Cachoeira da Prata","3580","3654","59.53","1.6","632","17.5","31.2","98.1","6.2","4.5","409","157","22","17","1","1","12974.72","0","0.741","15260.12","12455.95","25","0","2","61.381","92.6","28.6","7.2","Cerrado"
"Caetanópolis","11869","10218","65.48","1.6","2385","20.5","32.7","98.1","6.8","4.8","1323","351","67","33","5","2","23595.81","87.6","0.706","24011.81","22188.82","0","4","5","156.039","70.8","88.6","26.8","Cerrado"
"Casa Grande","2251","2244","14.23","1.6","326","14.4","40.7","96.3","6.3","5.0","228","104","22","11","3","1","21231.85","95.1","0.652","13260.00","11620.03","0","1.7","1","157.727","63.8","48","8.2","Mata Atlântica"
"Congonhas","55836","48519","159.57","3.0","18029","32.9","34.7","99.1","6.5","4.9","6916","2045","432","176","37","6","36277.13","66.9","0.753","385952.67","343925.24","8.68","0.4","30","304.067","78.5","39.4","43.9","Mata Atlântica"
"Conselheiro Lafaiete","130584","116512","314.69","1.9","25258","19.6","33.2","98.7","6.8","5.1","15192","3951","933","387","61","23","19512.70","0","0.761","224293.93","211192.19","11.59","2.3","55","370.246","90.1","33.9","39","Mata Atlântica"
"Contagem","673849","603442","3090.33","2.4","212819","32.1","30.5","97.4","6.0","4.7","70893","20760","3811","1407","176","66","45855.10","57.7","0.756","1712721.98","1632664.77","10.42","0.2","170","194.746","92.2","68.3","39","Cerrado e Mata Atlântica"
"Cristiano Otoni","5161","5007","37.68","1.6","709","13.8","37.7","99.7","5.9","4.1","626","238","47","25","4","1","23797.23","91.4","0.695","16479.54","16002.80","14.29","1.5","2","132.872","69.8","60","36.6","Mata Atlântica"
"Crucilândia","5072","4757","28.46","1.6","789","15.7","35.8","98.6","6.4","4.9","613","189","38","15","5","1","14449.58","91","0.651","18278.46","15431.33","18.87","0.4","2","167.164","59.4","37.9","2","Mata Atlântica"
"Curvelo","81085","74219","22.50","1.6","19499","24.3","34.1","98.6","6.2","4.6","9720","3077","517","320","39","19","22624.78","78.8","0.713","157527.11","152470.86","12.06","0.3","36","3296.200","82.5","58.7","6.4","Cerrado"
"Desterro de Entre Rios","7266","7002","18.56","2.6","1007","13.9","41.5","97.1","6.9","5.0","817","225","63","32","9","2","26393.98","81.1","0.639","17631.79","15352.99","0","1.2","5","377.165","46.8","71.4","58.1","Mata Atlântica"
"Entre Rios de Minas","15458","14242","31.18","1.6","2330","15.2","37.3","99.6","7.1","5.5","1769","535","117","62","12","4","14923.05","0","0.672","28688.78","25698.78","20","3","13","456.796","65","78.9","58.2","Mata Atlântica"
"Esmeraldas","72512","60271","66.20","1.8","7088","10.0","36.2","97.3","5.7","4.1","10100","2724","570","169","39","9","10484.15","0","0.671","114837.89","106775.17","11.34","0.2","24","909.751","25.2","72.6","2.5","Cerrado e Mata Atlântica"
"Felixlândia","15528","14121","9.08","2.0","2188","14.3","38.3","98","6.1","4.5","1597","371","107","36","11","2","14490.99","0","0.648","41911.89","31912.91","16.13","0.1","6","1554.627","13.2","76.2","0.8","Cerrado"
"Florestal","7602","6600","34.48","1.6","1402","18.8","32.3","98.8","7.3","5.0","841","928","44","67","2","2","16511.05","83.9","0.724","21364.81","19999.07","15.87","0","7","194.242","78.3","87.2","21.9","Cerrado e Mata Atlântica"
"Fortuna de Minas","2986","2705","13.61","1.7","408","13.8","34.5","98.6","7.2","5.4","377","115","19","11","1","1","13584.21","92.3","0.696","14949.82","13787.79","33.33","0","1","198.709","50","71.1","0","Cerrado"
"Ibirité","184030","158954","2190.26","2.0","18939","10.5","34","97.5","6.1","4.5","21131","5497","1224","421","52","15","14084.20","70.5","0.704","351055.16","287441.69","11.62","0.3","28","72.395","83.6","38.5","15.5","Mata Atlântica"
"Igarapé","44561","34851","316.07","1.9","7090","16.5","34","96.5","6.1","4.4","6495","1796","356","123","20","6","18174.81","70.3","0.698","88432.71","82205.80","11.67","0.1","12","110.942","64.8","84.6","5.9","Cerrado e Mata Atlântica"
"Inhaúma","6352","5760","23.51","1.8","1195","19.1","36.1","99.4","6.0","4.4","802","238","53","18","4","1","18060.59","83.1","0.702","21616.47","20274.28","16.39","0.6","4","244.996","30.6","87.3","56.4","Cerrado"
"Itatiaiuçu","11354","9928","33.64","3.4","3346","30.0","35.1","96.7","6.9","5.4","1612","505","87","32","7","1","157352.87","0","0.677","64796.52","57409.79","23.26","0.2","6","295.145","74.7","4.9","4","Mata Atlântica"
"Itaúna","94455","85463","172.38","2.2","30209","32.4","28.7","98.2","7.3","5.3","10137","3021","567","238","34","15","37279.29","57.1","0.758","267713.07","236989.34","8.32","0.7","34","495.769","96.2","65.3","40.3","Cerrado e Mata Atlântica"
"Itaverava","5321","5799","20.40","1.5","570","10.5","43.7","97.3","6.5","4.5","594","216","49","31","8","2","10668.94","0","0.627","14410.94","12507.17","20.83","1","2","284.220","30.1","41.3","0","Mata Atlântica"
"Jeceaba","4795","5395","22.84","4.6","4194","85.4","40.6","98.4","6.9","4.8","657","241","54","16","3","1","249366.03","51.4","0.661","51891.63","47222.22","0","0.8","6","236.250","47.7","38.6","36.1","Mata Atlântica"
"Juatuba","27823","22202","223.04","2.7","6615","24.5","36.3","98.8","6.3","5.2","4110","1121","262","68","15","2","50123.31","85.9","0.717","114495.68","94492.78","12.25","0","15","97.172","51.7","80.9","13.3","Cerrado e Mata Atlântica"
"Lagoa Dourada","13115","12256","25.71","1.6","1674","12.9","37.4","98.9","7.1","5.6","1549","542","93","26","12","1","20856.56","94.8","0.676","32016.10","26787.70","0","1.3","6","476.693","60.7","54","30.3","Mata Atlântica"
"Maravilhas","8113","7163","27.38","1.5","1588","19.9","33.7","98.3","5.9","4.6","912","252","51","17","4","1","20560.75","93.3","0.672","19690.67","17991.43","11.63","0","7","261.604","63.5","93.6","53.6","Cerrado e Mata Atlântica"
"Mario Campos","15814","13192","374.82","1.6","1476","9.6","35","98.5","6.1","3.5","1972","640","118","60","9","2","11053.24","79.4","0.699","32770.11","42412.15","19.7","0.1","2","35.196","43.8","75.7","4.8","Mata Atlântica"
"Mateus Leme","31631","27856","92.02","1.8","6510","20.9","32.7","96.9","6.2","4.6","4781","1400","256","93","17","5","22211.81","0","0.704","70815.30","63605.96","16.55","0.3","15","301.383","60.9","72.4","7.9","Cerrado e Mata Atlântica"
"Moeda","4948","4689","30.23","1.7","708","14.4","33.7","99.2","6.9","4.2","638","197","36","14","5","1","13328.69","91.8","0.638","15924.80","13362.19","71.43","0","3","155.112","32.5","97.2","48","Mata Atlântica"
"Ouro Branco","4813","4699","18.55","1.6","583","12.1","43.9","96.9","4.5","5.3","551","122","27","13","3","1","11106.14","90.1","0.645","16577.51","13465.79","0","1.6","4","253.210","16.3","94.4","2","Caatinga"
"Ouro Preto","74824","70281","56.41","3.1","19872","26.8","35.1","98.8","5.9","4.3","8435","3450","627","301","47","11","42294.45","78.3","0.741","290175.35","278648.92","11.72","0.1","49","1245.865","75.6","18.9","30.6","Mata Atlântica"
"Papagaios","15922","14175","25.61","1.6","3807","24.3","37.6","96.9","6.6","4.4","1899","555","115","62","9","4","17031.04","81.1","0.666","36127.83","32505.71","11.9","0.3","5","553.577","29.8","91.9","17.8","Cerrado e Mata Atlântica"
"Pará de Minas","95616","84215","152.77","2.0","31295","33.3","28.2","99.1","6.9","5.0","10771","3216","596","274","38","16","33220.00","68.6","0.725","227907.61","195961.72","8.97","0.2","37","551.247","94.4","77","36.5","Cerrado e Mata Atlântica"
"Paraopeba","24854","22563","36.06","2.1","8074","32.9","34.4","98.8","6.4","4.6","2926","926","154","53","12","3","33830.05","0","0.694","60374.76","51581.09","17.49","0.6","9","625.623","77.5","82.2","7.6","Cerrado"
"Pequi","4457","4076","19.98","1.8","517","11.7","34.5","98","6.3","4.6","454","119","32","19","2","1","14636.94","85.6","0.674","16729.56","14526.45","0","0.2","1","203.991","28.2","65.6","40.6","Cerrado e Mata Atlântica"
"Piedade dos Gerais","5034","4640","17.87","1.6","459","9.2","40.9","100","0","5.2","566","191","38","17","5","1","12905.70","90.1","0.626","15324.46","14248.25","0","0.6","4","259.638","2.2","64.9","33.7","Mata Atlântica"
"Pompéu","32248","29105","11.41","1.9","6054","19.0","33.4","96.3","6.5","4.5","3942","1083","178","73","14","4","26374.26","73.7","0.689","81947.95","72453.47","9.32","0.3","12","2551.074","73.8","90.1","1.5","Cerrado"
"Queluzito","1948","1861","12.12","1.8","306","15.8","36.2","99.1","7.1","6.2","170","47","15","11","2","1","16574.07","94.7","0.682","12289.09","11380.68","0","1","1","153.560","47.9","32.3","47.9","Mata Atlântica"
"Resende Costa","11578","10913","17.65","1.6","1649","14.3","34.8","97.6","6.9","4.8","1323","388","85","31","7","2","15691.02","0","0.685","27672.59","23875.13","11.24","3.2","9","618.312","38.9","40.7","25.3","Mata Atlântica"
"Rio Manso","5924","5276","22.79","1.6","684","11.7","33.1","98.5","6.8","4.8","535","154","46","17","5","1","17646.22","90.6","0.648","15904.88","13305.37","0","0.2","4","231.540","3.2","66.2","2.7","Mata Atlântica"
"São Brás do Suaçuí","3770","3513","31.93","1.9","654","17.5","38.9","84.2","6.8","6.3","502","197","28","13","1","1","16899.52","87.6","0.664","19860.81","18430.44","0","0.8","1","110.019","47.9","58.8","11.5","Mata Atlântica"
"São Joaquim de Bicas","32696","25537","356.88","2.3","6413","20.3","41.6","95.7","5.6","4.2","4281","1110","255","74","13","3","18361.96","80.3","0.662","65084.59","62252.11","2.21","0","5","71.758","69.4","54.2","6.5","Cerrado e Mata Atlântica"
"São José da Varginha","5151","4198","20.43","1.7","476","9.5","33.6","98.4","5.3","4.8","494","184","36","20","4","1","18526.03","93.9","0.704","17671.68","13091.86","0","0.2","2","205.501","52.1","80.7","20.2","Cerrado e Mata Atlântica"
"Sarzedo","34050","25814","415.46","2.4","8422","25.7","34.1","99","6.6","4.2","4877","1298","267","90","13","4","32646.90","74.7","0.734","106651.18","91991.12","5.81","0.2","9","62.134","85.5","90.3","18.2","Mata Atlântica"
"Sete Lagoas","243950","214152","398.32","2.3","66421","27.7","32.1","98.6","6.4","4.5","25892","8058","1408","669","78","42","39862.74","60","0.760","653998.94","601259.90","13.82","0.2","72","536.928","93.9","71.6","8.7","Cerrado"
